Date,Close,PE(TTM),PB(MRQ),PS(TTM)
2012/3/19,6.996,-14.38243389,16.33176129,17.91526413
2012/3/20,6.992,-14.37421131,16.32242352,17.90502167
2012/3/21,7.03,-14.45233154,16.41113235,18.00233078
2012/3/22,6.88,-14.14396,16.06096594,17.61821365
2012/3/23,6.816,-14.01238823,15.9115616,17.45432281
2012/3/26,7.48,-15.37744522,17.46163157,19.15468597
2012/3/27,7.588,-15.599473,17.71375139,19.43124962
2012/3/28,7.57,-15.56246853,17.67173142,19.38515663
2012/3/29,7.466,-15.34866428,17.42894937,19.11883354
2012/3/30,7.448,-15.31165981,17.38692941,19.07274055
2012/4/2,7.316,-15.04029274,17.17033313,18.73471642
2012/4/3,7.602,-15.62825394,17.84156267,19.46710205
2012/4/4,7,-14.39065742,16.42869491,17.9255085
2012/4/5,6.896,-14.17685318,16.18461144,17.65918541
2012/4/9,6.63,-13.6300087,15.56032103,16.9780159
2012/4/10,6.492,-13.3463068,15.23644105,16.62462807
2012/4/11,6.618,-13.60533905,15.53215755,16.94728661
2012/4/12,6.688,-13.74924564,15.6964445,17.12654305
2012/4/13,6.718,-13.81091976,15.7668532,17.20336533
2012/4/16,6.45,-13.25996304,15.13786888,16.51707458
2012/4/17,6.448,-13.25585175,15.13317496,16.51195335
2012/4/18,6.532,-13.42853928,15.3303193,16.72706032
2012/4/19,6.632,-13.63411999,15.56501494,16.98313904
2012/4/20,6.632,-13.63411999,15.56501494,16.98313904
2012/4/23,6.388,-13.13250256,14.99235758,16.35830688
